Student_name,Student_letter_grade,Student_final_grade,final_exam_score,midterm_grade,midterm_letter_grade,midterm_exam_score,weely_hours_spent_studying _class,weekly_hours_spent_studying_general,weekly_hw_hours_general,weekly_hours_on_hw_class,effort_in_class,effort_outof_class,Study_group,Weekly_time_with_SG,low_sleep,high_sleep,exercise,taken_class_before,feelings_towards_teacher,student_height,student_weight,student_eyecolor,student_average_hw_grade,student_ID,student_credit_hours,student_nickname,student_nickname_ID,student_gpa,student_gpa_before,student_gpa_after,student_seated_row,student_seated_side,A
Kairo Connor,F,,38.91,96,A,48.18,17,17,13,7,High,Low,N,1,5,9,Y,N,,short,247.77,brown,11,O4RCM9,24,Vivaan,VivaanO4RCM9,0.77,0.77,1.62,13,Mid,84.77253405
Reagan Blackwell,F,46.70,6.73,50,F,21.25,14,4,6,9,Low,Medium,Y,8,1,7,Y,Y,,short,70.72,green,57,SPHVPI,6,Evelyn,EvelynSPHVPI,2.28,2.28,2.39,11,Mid,
Amirah Kane,D-,61.17,2.89,97,A,18.02,16,10,8,2,,Medium,Y,40,4,9,N,N,,about average height,182.63,green,64,SZNNE5,4,Corey,CoreySZNNE5,3.27,3.27,0.01,13,Mid,
Nuha Mata,F,10.01,70.52,33,F,56.28,10,3,12,11,Medium,High,N,9,2,10,Y,Y,,about average height,47.21,blue,24,O3CM9L,8,Kenny,KennyO3CM9L,0.12,0.12,1.68,4,Right,
Sullivan Fernandez,F,27.75,72.97,27,F,95.12,14,15,4,0,Low,Medium,Y,36,5,10,N,N,,below average height,50.49,brown,15,BEWOMI,11,Brennan,BrennanBEWOMI,2.75,2.75,2.79,16,Right,
Mohamad Sawyer,F,18.24,90.84,8,F,57.74,8,4,6,0,High,High,N,23,2,7,N,N,,,52.42,green,84,US8N48,5,Akash,AkashUS8N48,3.48,3.48,3.90,11,Right,
Lauren Blanchard,F,5.57,22.45,42,F,88.24,0,4,18,9,High,Medium,N,9,3,10,N,Y,,very tall,2.25,blue,58,6EGQ56,22,Mariya,Mariya6EGQ56,1.14,1.14,1.02,12,Mid,
Beverley Brook,F,0.78,65.05,28,F,40.98,9,7,3,1,Low,Low,N,4,2,9,N,Y,,above average height,250.39,brown,69,CJG0BO,1,Teo,TeoCJG0BO,3.71,3.71,1.51,9,Mid,
Haaris Lacey,F,7.97,94.14,44,F,70.46,16,17,3,6,High,Medium,Y,34,2,11,N,Y,,medium height,16.50,blue,69,2FB4QW,21,Audrey,Audrey2FB4QW,0.19,0.19,1.40,14,Right,
Rajan Hagan,F,25.44,48.66,14,F,14.41,11,12,9,13,High,High,Y,30,3,,N,N,,below average height,111.14,green,52,WVZOKP,2,Kaitlin,KaitlinWVZOKP,1.58,1.58,1.08,14,Mid,
Riley-Jay Huynh,C-,70.08,12.48,28,F,70.84,17,1,7,9,Low,Medium,N,,4,11,Y,Y,,below average height,93.65,brown,68,AJITWY,9,Padraig,PadraigAJITWY,1.57,1.57,0.28,9,Mid,
Alia John,C,73.18,86.38,32,F,51.67,3,7,15,19,Low,Low,Y,2,6,7,N,,,medium height,58.05,brown,89,S9KF4R,4,Samanta,SamantaS9KF4R,1.37,1.37,3.25,10,Right,
Rick Greene,F,26.92,41.12,44,F,68.48,8,13,0,4,High,Low,N,13,2,7,Y,Y,,below average height,126.36,blue,62,T7RU3B,14,Abdulahi,AbdulahiT7RU3B,0.06,0.06,0.12,6,Mid,
Brittany Nichols,B,85.02,75.43,85,B,96.99,13,17,9,6,High,Low,N,19,1,10,N,N,,tall,138.85,blue,60,PYQGZE,20,Samuel,SamuelPYQGZE,1.98,1.98,0.96,1,Right,
Seamus Silva,F,57.30,97.89,58,F,33.36,12,13,15,4,High,Medium,Y,34,3,10,N,N,,above average height,296.80,green,9,EXKWMP,8,Sherri,SherriEXKWMP,1.27,1.27,0.72,5,Right,
Yanis Fritz,F,48.64,61.95,45,F,19.49,5,0,11,15,Low,Medium,Y,38,4,11,Y,N,,about average height,244.41,brown,73,7PXT64,7,Aleah,Aleah7PXT64,2.43,2.43,2.39,16,Left,
Ammar Hammond,A,95.01,39.36,9,F,87.83,5,18,3,16,Medium,Medium,N,40,2,8,Y,Y,,below average height,125.63,blue,23,JZGA7F,9,Ayda,AydaJZGA7F,1.47,1.47,2.91,13,Left,
Montana Page,A-,91.55,22.79,81,B-,75.21,4,6,0,15,Medium,Medium,Y,18,6,11,Y,Y,,,173.64,brown,79,R1G8EV,22,Javier,JavierR1G8EV,1.28,1.28,0.34,10,Right,
Ayub Wallis,A-,91.94,41.09,2,F,81.80,11,15,5,20,Low,Medium,Y,31,3,11,Y,Y,,,60.28,green,87,RBDZDH,13,Roisin,RoisinRBDZDH,1.80,1.80,1.67,8,Mid,
Theon Melendez,F,,,0,,86.54,,5,,1,High,,Y,36,3,11,N,,,,118.19,blue,24,,7,Elicia,EliciaNF1787,,3.64,,3,Mid,
Lola-Mae Solis,C,74.88,58.10,21,F,78.01,19,8,15,7,Low,Low,N,18,1,8,Y,Y,,,104.82,brown,43,AQV0LU,24,Solomon,SolomonAQV0LU,2.81,2.81,2.48,4,Right,
Ralphie Delaney,D-,61.01,51.76,25,F,43.21,8,0,8,8,Low,Low,Y,38,4,10,N,Y,,above average height,237.14,blue,49,T5793L,5,Laila,LailaT5793L,0.58,0.58,3.09,14,Left,
Jorge Petersen,C,76.14,79.97,49,F,47.57,8,0,12,18,Low,Low,Y,6,5,11,Y,Y,,below average height,30.53,blue,18,VQF24I,14,Shamima,ShamimaVQF24I,3.68,3.68,3.43,3,Mid,
Shakir Morin,F,8.10,99.35,59,F,68.52,12,9,14,14,Medium,High,Y,22,1,7,N,N,,medium height,189.51,green,76,25FC0A,4,Clara,Clara25FC0A,0.29,0.29,3.78,6,Mid,
Faisal Short,B+,87.00,47.89,26,F,46.01,11,17,18,20,High,High,Y,10,2,10,Y,N,,above average height,253.08,brown,100,RRAGP8,4,Shirley,ShirleyRRAGP8,3.13,3.13,2.35,7,Left,
Aleyna Herbert,C+,77.85,38.07,95,A,52.04,17,14,13,16,Low,Medium,N,35,2,10,N,N,,,35.77,brown,25,M8O1J1,17,Ronaldo,RonaldoM8O1J1,0.60,0.60,3.42,1,Right,
Etta Oconnor,B,85.01,67.95,56,F,34.85,4,12,4,8,Medium,Medium,N,39,1,11,Y,N,,about average height,263.82,blue,1,94H5LA,3,Rees,Rees94H5LA,2.53,2.53,2.76,3,Left,
Connor Mustafa,F,54.04,86.15,46,F,31.78,1,5,17,3,High,Medium,N,11,5,9,N,Y,,short,158.93,green,9,HLJR3D,11,Shaunna,ShaunnaHLJR3D,3.69,3.69,0.35,14,Left,
Meghan Hood,F,29.60,60.76,4,F,20.53,0,4,20,17,Medium,High,N,31,6,8,Y,N,,about average height,157.70,green,4,IJQ62N,16,Layla,LaylaIJQ62N,0.15,0.15,2.75,12,Mid,
Shane Curtis,F,57.09,44.81,58,F,95.74,8,3,17,11,Medium,Low,Y,19,4,9,N,N,,,171.24,blue,40,OBFSYR,1,Zuzanna,ZuzannaOBFSYR,3.47,3.47,0.59,3,Mid,
